offset;mae;mse;max_RUL
4,0;4,023286910057976;26,69455438799461;99999,0
8,0;6,447174868011184;60,43852053909542;99999,0
12,0;6,633505085666165;59,405197713364885;99999,0
16,0;7,279096689239006;97,4873940680034;99999,0
20,0;9,525998964818378;144,62486135750802;99999,0
24,0;8,972573466123828;139,5856151127582;99999,0
28,0;10,458516155508672;224,41949285225732;99999,0
32,0;16,702520639935557;538,9980247113457;99999,0
36,0;24,454725874834033;1160,3242545595226;99999,0
40,0;24,771418514953524;1029,0558971034798;99999,0
44,0;27,663657566837912;1254,1450843662622;99999,0
48,0;30,199751675823325;1471,8993164529497;99999,0
52,0;31,408692829942186;1394,7254876795807;99999,0
56,0;39,43134055217479;2072,3239284517326;99999,0
60,0;37,59884172796148;1864,2971705089542;99999,0
64,0;38,58428543155374;1904,4570531705745;99999,0
68,0;35,7195333833069;1702,0217662515795;99999,0
72,0;33,90103569812925;1480,390343644514;99999,0
76,0;35,55491330793601;1542,130843782038;99999,0
80,0;33,50689013423464;1427,9553325324646;99999,0
84,0;32,90950216515296;1390,7474587338386;99999,0
88,0;34,32440239531974;1425,3991262117856;99999,0
92,0;27,15787384634163;994,9578439894689;99999,0
96,0;28,98730511905236;1037,8336995186273;99999,0
100,0;25,662441607980078;853,2437009439722;99999,0
104,0;22,850030355846567;734,86803722205;99999,0
108,0;20,299889159313384;591,1404731945031;99999,0
112,0;22,328862346324065;712,4735522828273;99999,0
116,0;17,30069103445989;430,3807461452234;99999,0
120,0;16,90918120207025;471,69759525004775;99999,0
124,0;14,842507759078952;354,92755238603434;99999,0
128,0;14,793217632561028;328,5763014082451;99999,0
