offset;mae;mse;max_RUL
4,0;1,862373347273428;4,617219315289631;99999,0
8,0;3,7888033117020234;20,871193555314473;99999,0
12,0;4,313145956300999;32,93441553667378;99999,0
16,0;7,933094972883088;129,45605006124998;99999,0
20,0;10,601749581774001;217,53944541765887;99999,0
24,0;10,850843081780832;193,72340244650968;99999,0
28,0;13,05911761758621;281,77198472530324;99999,0
32,0;16,669045939758597;450,73109955043446;99999,0
36,0;20,69700154422456;741,512160078738;99999,0
40,0;20,121467604826385;613,963807486238;99999,0
44,0;21,832578222439622;734,1971263571143;99999,0
48,0;23,712593825510584;910,0011527781346;99999,0
52,0;24,925767886137987;856,9824090182994;99999,0
56,0;30,747090587507227;1375,0344066162083;99999,0
60,0;27,944862043008207;1145,3699384625402;99999,0
64,0;28,485630531743492;1188,4523967504033;99999,0
68,0;25,15023447294194;1041,308291348735;99999,0
72,0;24,732574700540386;948,7979979020499;99999,0
76,0;26,59221884190695;985,088651429936;99999,0
80,0;27,58665266336855;1035,1199512327025;99999,0
84,0;25,89965054784995;1042,7444599149671;99999,0
88,0;27,009334259291695;1018,5815880588037;99999,0
92,0;21,783183563770287;725,7950142330667;99999,0
96,0;23,71295008967378;795,6237273247743;99999,0
100,0;24,31413648904367;742,8781375249926;99999,0
104,0;20,900774313294228;681,0929944260811;99999,0
108,0;19,804391209060167;557,1941672492082;99999,0
112,0;21,802839242546288;694,5941380408661;99999,0
116,0;17,21500371105867;502,54985554778506;99999,0
120,0;18,322762201795577;498,78404379768847;99999,0
124,0;20,783499056751417;594,9302048034965;99999,0
128,0;18,652033723873846;499,3539235890195;99999,0
