offset;mae;mse;max_RUL
4,0;2,455945665011506;9,653477911320966;90,0
8,0;5,314936881303355;39,05885455462036;90,0
12,0;5,971831209327836;67,29317581196253;90,0
16,0;9,397376242629962;167,34802552589977;90,0
20,0;13,515207323072385;282,630372739646;90,0
24,0;13,928837179860063;280,5645810968632;90,0
28,0;14,62846442328438;317,02802950978;90,0
32,0;18,024249221332788;448,7814686854502;90,0
36,0;19,510413564721354;543,9420634955652;90,0
40,0;19,180450413033164;480,6541156047957;90,0
44,0;18,735597804783218;464,90970166996215;90,0
48,0;18,228026733179195;442,61036146276194;90,0
52,0;17,324509120226082;390,1941153052215;90,0
56,0;17,993549981739612;418,0165109312508;90,0
60,0;15,377333516707074;306,7453129211773;90,0
64,0;13,901248970418726;245,81233988187992;90,0
68,0;10,786390825694422;158,56159776019783;90,0
72,0;8,785386726371474;106,62998429019918;90,0
76,0;8,120042460657235;93,03597569623483;90,0
80,0;8,283538493102768;95,78593639663372;90,0
84,0;7,039388865462614;101,56748553290655;90,0
88,0;6,878643386963103;121,15708769967868;90,0
92,0;10,340607466217472;163,07482038931101;90,0
96,0;13,179952223692606;237,87962074278462;90,0
100,0;18,125026152307395;398,6825055059634;90,0
104,0;20,509792783798567;458,830099199847;90,0
108,0;24,5792518500339;657,5016905202172;90,0
112,0;28,32100303018356;868,3121639275698;90,0
116,0;31,46472548664618;1018,4082475803516;90,0
120,0;33,97408937225711;1172,495113217025;90,0
124,0;39,63102120681485;1602,4469637237848;90,0
128,0;41,61509803761149;1745,4490202642296;90,0
