offset;mae;mse;max_RUL
4,0;3,670633788564585;19,860932672295476;90,0
8,0;5,313326204405718;41,632585021647344;90,0
12,0;5,175050300763968;38,385654025165586;90,0
16,0;6,205918724307491;89,3687642753122;90,0
20,0;9,2402639652983;176,9459152816848;90,0
24,0;9,012224861727677;158,2383698494106;90,0
28,0;11,836501872475118;234,5193776033008;90,0
32,0;15,063483288615904;359,3783009723339;90,0
36,0;17,271699115069435;458,0041708650241;90,0
40,0;17,324981929844746;434,1831011422334;90,0
44,0;17,713881487995163;434,2178389095866;90,0
48,0;16,71994635642263;380,3945402894545;90,0
52,0;16,925414106050685;360,3903594764165;90,0
56,0;17,765450626189853;383,0148610393086;90,0
60,0;14,0898658212582;254,22349660609535;90,0
64,0;12,347341881658126;184,52616319670108;90,0
68,0;9,37203508224067;117,08376533690341;90,0
72,0;7,443546223386191;76,74205336021376;90,0
76,0;6,4125000139062225;75,32803907025945;90,0
80,0;6,112740036773675;82,99149477119116;90,0
84,0;6,136144058823488;98,17785488411826;90,0
88,0;8,88448110313007;147,27345123424706;90,0
92,0;12,721910975058123;199,6983642876861;90,0
96,0;16,257580644713272;317,999164773976;90,0
100,0;20,72474452826254;474,74739896733706;90,0
104,0;23,673056672537555;589,4133091120426;90,0
108,0;27,29882849153403;780,11377988962;90,0
112,0;31,254154565712916;1027,869458347431;90,0
116,0;33,96116942726294;1163,0973694683555;90,0
120,0;37,15845106417474;1388,3776141856474;90,0
124,0;41,77787869015626;1757,010971189729;90,0
128,0;44,70385034093197;2006,9882074731904;90,0
